,Année,Alerte,Département,Commune,Surface (ha),Nature,Précision de la donnée
,2023,19/02/2023 17:17,83,Tourrettes,0.0020,Involontaire (particulier),Données partielles ou non valides
,2023,19/02/2023 18:50,12,Saint-Sernin-sur-Rance,0.5000,Involontaire (travaux),-
,2023,19/02/2023 20:59,30,Alzon,0.1000,-,-
,2023,20/02/2023 00:36,30,Gagnières,0.0275,-,-
,2023,20/02/2023 09:13,06,Roquebillière,5.0000,Malveillance,-
,2023,20/02/2023 11:46,2B,Ghisonaccia,0.0100,-,-
,2023,20/02/2023 13:28,83,Brignoles,0.1000,Involontaire (travaux),Données partielles ou non valides
,2023,20/02/2023 14:18,11,Mas-des-Cours,0.0500,-,-
,2023,20/02/2023 14:20,48,Meyrueis,63.1000,Involontaire (travaux),-
,2023,20/02/2023 14:55,32,L'Isle-de-Noé,3.0000,-,-
,2023,20/02/2023 15:14,66,Nyer,1.0000,Involontaire (particulier),-
,2023,20/02/2023 16:47,17,La Genétouze,1.6000,Accidentelle,-
,2023,20/02/2023 17:04,34,Brenas,0.4368,Involontaire (travaux),-
,2023,20/02/2023 17:09,11,Brugairolles,0.0200,Involontaire (travaux),-
,2023,20/02/2023 19:06,2A,Urbalacone,0.0002,-,-
,2023,20/02/2023 20:03,2A,Porto-Vecchio,0.0010,-,-
,2023,21/02/2023 12:02,83,Le Thoronet,0.2500,Involontaire (particulier),Données partielles ou non valides
,2023,21/02/2023 13:52,23,Saint-Martial-le-Mont,0.2000,Involontaire (particulier),-
,2023,21/02/2023 14:19,07,Montpezat-sous-Bauzon,2.0000,Involontaire (travaux),-
,2023,21/02/2023 14:59,48,Barre-des-Cévennes,3.0000,Involontaire (travaux),-
,2023,21/02/2023 15:43,83,Seillons-Source-d'Argens,0.1500,Malveillance,Données partielles ou non valides
,2023,21/02/2023 16:51,05,La Piarre,2.9316,Involontaire (particulier),-
,2023,21/02/2023 17:24,07,Lussas,0.7500,Involontaire (particulier),-
,2023,21/02/2023 17:45,83,Puget-Ville,0.0030,-,Données partielles ou non valides
,2023,21/02/2023 18:42,64,Arette,110.9300,Involontaire (travaux),-
,2023,22/02/2023 10:54,2B,Vignale,3.0000,-,-
,2023,22/02/2023 14:11,06,Belvédère,0.0800,-,-
,2023,22/02/2023 18:33,11,Saint-Laurent-de-la-Cabrerisse,0.2500,Accidentelle,-
,2023,23/02/2023 18:33,13,Salon-de-Provence,0.0010,-,-
,2023,24/02/2023 04:37,06,Escragnolles,0.0500,-,-
,2023,24/02/2023 07:35,2B,Sisco,0.2300,Malveillance,-
,2023,24/02/2023 12:22,06,Roquebillière,0.0050,-,-
,2023,25/02/2023 11:15,83,Esparron,0.0025,-,Données partielles ou non valides
,2023,25/02/2023 14:22,13,Marseille,0.0001,Involontaire (particulier),-
,2023,25/02/2023 16:14,83,Lorgues,0.0001,Malveillance,Données partielles ou non valides
,2023,25/02/2023 16:24,11,Fleury,0.6200,Accidentelle,-
,2023,25/02/2023 17:00,38,Beauvoir-de-Marc,0.0005,-,-
,2023,26/02/2023 00:00,974,Cilaos,0.2000,-,-
,2023,26/02/2023 09:37,33,Lège-Cap-Ferret,0.0001,Malveillance,-
,2023,26/02/2023 13:35,74,Vallières-sur-Fier,0.1560,Accidentelle,-
,2023,27/02/2023 08:51,34,Roujan,1.1257,Malveillance,-
,2023,27/02/2023 14:43,67,Niederbronn-les-Bains,2.0000,-,-
,2023,27/02/2023 15:03,72,Saint-Jean-de-la-Motte,0.1000,-,-
,2023,27/02/2023 16:11,38,Barraux,2.0000,-,-
,2023,27/02/2023 18:04,04,La Rochegiron,0.0020,Accidentelle,-
,2023,28/02/2023 13:22,30,Branoux-les-Taillades,0.0168,-,-
,2023,28/02/2023 17:15,13,Ventabren,0.0010,Involontaire (particulier),-
,2023,28/02/2023 23:29,34,Nissan-lez-Enserune,0.2846,Involontaire (travaux),-
,2023,01/03/2023 12:19,11,Villerouge-Termenès,0.0050,Involontaire (particulier),-
,2023,01/03/2023 14:22,11,Villespy,0.0025,Involontaire (particulier),-
,2023,01/03/2023 15:11,72,Marigné-Laillé,0.2000,-,-
,2023,01/03/2023 16:51,34,Saint-Geniès-de-Fontedit,4.9096,Accidentelle,-
,2023,01/03/2023 17:42,67,Niederbronn-les-Bains,0.0001,Involontaire (particulier),-
,2023,01/03/2023 18:51,86,Coussay-les-Bois,0.0020,Involontaire (particulier),-
,2023,01/03/2023 20:42,34,Dio-et-Valquières,0.2303,-,-
,2023,01/03/2023 20:42,34,Dio-et-Valquières,0.0921,-,-
,2023,02/03/2023 09:23,11,Fleury,0.1600,Malveillance,-
,2023,02/03/2023 09:23,11,Fleury,0.0080,Accidentelle,-
,2023,02/03/2023 11:43,04,Entrevaux,1.1800,Malveillance,-
,2023,02/03/2023 12:56,04,Thoard,0.2400,-,-
,2023,02/03/2023 12:59,72,Ruaudin,0.0300,-,-
,2023,02/03/2023 17:20,24,Échourgnac,0.0800,Involontaire (particulier),-
,2023,02/03/2023 17:44,72,Le Mans,0.0250,-,-
,2023,03/03/2023 00:32,33,Saint-Sauveur,6.4500,Accidentelle,-
,2023,03/03/2023 10:05,33,Saint-Magne,0.7500,Accidentelle,-
,2023,03/03/2023 12:42,84,Lagarde-Paréol,0.0025,-,-
,2023,03/03/2023 12:57,04,Saint-Pierre,0.6600,Involontaire (travaux),-
,2023,03/03/2023 14:27,13,Peynier,0.0060,Involontaire (particulier),-
,2023,03/03/2023 15:15,48,Le Collet-de-Dèze,0.3000,Involontaire (travaux),-
,2023,03/03/2023 15:28,11,Tourouzelle,0.5476,Involontaire (particulier),-
,2023,03/03/2023 16:23,06,Èze,0.0200,-,-
,2023,03/03/2023 18:57,24,Corgnac-sur-l'Isle,0.2500,Accidentelle,-
,2023,03/03/2023 22:31,83,Bargème,0.0036,Malveillance,Données partielles ou non valides
,2023,04/03/2023 11:27,07,Thueyts,0.3000,Involontaire (travaux),-
,2023,04/03/2023 12:41,83,Saint-Antonin-du-Var,0.0500,Involontaire (particulier),Données partielles ou non valides
,2023,04/03/2023 13:18,06,Gréolières,0.0500,Involontaire (particulier),-
,2023,04/03/2023 13:28,16,Vitrac-Saint-Vincent,0.2000,-,-
,2023,04/03/2023 14:42,24,Pays de Belvès,0.5000,Involontaire (particulier),-
,2023,04/03/2023 16:01,84,Roussillon,0.0050,-,-
,2023,04/03/2023 17:12,40,Lit-et-Mixe,0.0020,Malveillance,-
,2023,04/03/2023 18:54,38,Roussillon,0.0080,-,-
,2023,04/03/2023 19:09,40,Morcenx-la-Nouvelle,0.0500,-,-
,2023,05/03/2023 10:34,24,Plazac,0.0005,Involontaire (particulier),-
